Cluster ID;size;profile_id;Year of date;Month of date;#bookings;#comments;#favourites;#improvements;#likes;#messages;#relationships;#replies;#responses;#reviews;#topics;points;ratio;std dev;impact;std dev impact
2009;108;4;2016;5;1;0;0;0;1;0;0;0;2;0;0;0;0,00;0,00;0,00;0,00
2009;108;4;2016;6;2;0;0;0;0;0;0;3;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;4;2016;7;3;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;4;2016;8;0;0;0;0;0;0;0;1;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;4;2016;9;1;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;15;2014;12;0;0;0;0;0;1;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;15;2015;3;0;0;0;0;0;0;0;0;1;0;0;0;0,00;0,00;0,00;0,00
2009;108;15;2015;5;0;0;0;0;0;0;0;0;1;0;0;0;0,00;0,00;0,00;0,00
2009;108;15;2016;10;0;0;0;0;2;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;29;2014;11;0;0;0;0;1;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;29;2015;10;0;0;0;0;0;0;0;0;1;0;0;0;0,00;0,00;0,00;0,00
2009;108;29;2016;10;0;0;0;0;0;0;0;0;1;0;0;0;0,00;0,00;0,00;0,00
2009;108;89;2014;10;0;0;0;0;0;0;0;0;1;1;0;5;0,00;0,00;1,00;0,00
2009;108;89;2014;11;1;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;89;2015;3;1;0;0;0;0;0;0;0;0;1;0;9;0,00;0,00;0,00;0,00
2009;108;89;2016;2;0;0;0;0;0;0;0;0;1;0;0;0;0,00;0,00;0,00;0,00
2009;108;89;2016;6;1;0;0;0;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
2009;108;89;2016;9;0;0;0;0;0;0;0;0;0;1;0;11;0,00;0,00;0,00;0,00
2009;108;148;2014;1;0;0;0;0;4;0;0;0;0;0;0;0;0,00;0,00;0,00;0,00
